date,rot,vh,team,1st,2nd,3rd,4th,final,open,close,ml,2h,season
1202,710,H,SanAntonio,32,30,35,34,131,217.0,,-110,114.0,2018-19
1202,711,V,LAClippers,35,23,22,30,110,1.0,3.0,-160,3.0,2018-19
1202,712,H,Dallas,34,28,26,26,114,224.0,224.0,140,109.0,2018-19
1203,501,V,OklahomaCity,26,24,37,23,110,1.5,2.0,-135,106.0,2018-19
1203,502,H,Detroit,17,23,19,24,83,220.0,218.0,115,2.0,2018-19
1203,503,V,Washington,26,26,34,24,110,2.0,2.0,-130,4.5,2018-19
1203,504,H,NewYork,32,29,19,27,107,227.5,229.0,110,112.0,2018-19
1203,505,V,GoldenState,34,27,36,31,128,10.5,11.0,-800,2.0,2018-19
1203,506,H,Atlanta,17,30,30,34,111,232.0,236.0,550,114.0,2018-19
1203,507,V,Denver,27,32,27,20,106,218.0,219.5,240,108.0,2018-19
1203,508,H,Toronto,24,23,31,25,103,6.5,7.0,-300,8.0,2018-19
1203,509,V,Cleveland,30,26,24,19,99,212.0,211.0,210,104.5,2018-19
1203,510,H,Brooklyn,29,21,26,21,97,6.0,6.0,-260,5.0,2018-19
1203,511,V,Houston,24,38,20,9,91,1.5,2.5,-140,108.5,2018-19
1203,512,H,Minnesota,24,24,38,17,103,221.5,222.5,120,3.0,2018-19
1203,513,V,LAClippers,36,41,24,28,129,238.5,235.0,105,113.0,2018-19
1203,514,H,NewOrleans,29,36,32,29,126,3.0,1.5,-125,3.5,2018-19
1204,701,V,Chicago,21,24,22,23,90,208.5,210.5,320,107.0,2018-19
1204,702,H,Indiana,23,20,27,26,96,9.0,8.5,-420,6.5,2018-19
1204,703,V,Orlando,27,19,30,29,105,207.5,208.0,125,103.0,2018-19
1204,704,H,Miami,25,25,12,28,90,1.5,2.5,-145,0.5,2018-19
1204,705,V,Portland,20,25,28,29,102,219.0,217.0,105,4.5,2018-19
1204,706,H,Dallas,34,26,27,24,111,,1.5,-125,112.0,2018-19
1204,707,V,Sacramento,36,32,31,23,122,6.0,5.5,-240,108.0,2018-19
1204,708,H,Phoenix,9,31,27,38,105,226.0,223.0,190,3.5,2018-19
1204,709,V,SanAntonio,20,27,31,27,105,214.5,215.5,275,1.0,2018-19
1204,710,H,Utah,34,29,41,35,139,5.5,8.0,-350,110.5,2018-19
