GAME_ID,SEASON,date,HOME_TEAM_ID,VISITOR_TEAM_ID,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,home_ast,home_reb,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb,home_win,point_diff,total_points,home_team_name,away_team_name,home_team_oddsname,away_team_oddsname
42100143,2021,2022-04-22,1610612740,1610612756,111.0,0.481,0.774,0.344,17.0,45.0,114.0,0.506,0.815,0.154,26.0,35.0,0,-3.0,225.0,New Orleans Pelicans,Phoenix Suns,NewOrleans,Phoenix
42100153,2021,2022-04-21,1610612750,1610612763,95.0,0.388,0.739,0.343,21.0,41.0,104.0,0.422,0.645,0.378,22.0,48.0,0,-9.0,199.0,Minnesota Timberwolves,Memphis Grizzlies,Minnesota,Memphis
42100173,2021,2022-04-21,1610612762,1610612742,118.0,0.565,0.939,0.321,20.0,32.0,126.0,0.494,0.839,0.429,24.0,32.0,0,-8.0,244.0,Utah Jazz,Dallas Mavericks,Utah,Dallas
42100163,2021,2022-04-21,1610612743,1610612744,113.0,0.5,0.815,0.423,25.0,44.0,118.0,0.554,0.643,0.45,29.0,30.0,0,-5.0,231.0,Denver Nuggets,Golden State Warriors,Denver,GoldenState
42100112,2021,2022-04-20,1610612738,1610612751,114.0,0.52,0.806,0.355,27.0,36.0,107.0,0.461,0.794,0.476,16.0,36.0,1,7.0,221.0,Boston Celtics,Brooklyn Nets,Boston,Brooklyn
42100133,2021,2022-04-20,1610612761,1610612755,101.0,0.442,0.667,0.371,23.0,32.0,104.0,0.514,0.75,0.419,18.0,46.0,0,-3.0,205.0,Toronto Raptors,Philadelphia 76ers,Toronto,Philadelphia
42100122,2021,2022-04-20,1610612749,1610612741,110.0,0.463,0.645,0.389,27.0,44.0,114.0,0.494,0.933,0.48,25.0,43.0,0,-4.0,224.0,Milwaukee Bucks,Chicago Bulls,Milwaukee,Chicago
42100102,2021,2022-04-19,1610612748,1610612737,115.0,0.481,0.862,0.389,21.0,34.0,105.0,0.471,0.786,0.3,21.0,40.0,1,10.0,220.0,Miami Heat,Atlanta Hawks,Miami,Atlanta
42100152,2021,2022-04-19,1610612763,1610612750,124.0,0.478,0.781,0.324,29.0,48.0,96.0,0.395,0.893,0.289,16.0,40.0,1,28.0,220.0,Memphis Grizzlies,Minnesota Timberwolves,Memphis,Minnesota
42100142,2021,2022-04-19,1610612756,1610612740,114.0,0.5,0.833,0.371,26.0,33.0,125.0,0.548,0.8,0.567,32.0,43.0,0,-11.0,239.0,Phoenix Suns,New Orleans Pelicans,Phoenix,NewOrleans
42100132,2021,2022-04-18,1610612755,1610612761,112.0,0.522,0.867,0.467,20.0,41.0,97.0,0.427,0.833,0.344,16.0,35.0,1,15.0,209.0,Philadelphia 76ers,Toronto Raptors,Philadelphia,Toronto
